slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
0042034876.mrxs,1,processed,-1,1,11,185,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0042711961.mrxs,1,processed,-1,15,11,2,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0042951302.mrxs,1,processed,-1,1,11,30,FALSE,none,none,25,4,2,-1,50,TRUE,four_pt
0046877280.mrxs,1,processed,-1,2,11,90,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0047176089.mrxs,1,processed,-1,5,11,2,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0048086809.mrxs,1,processed,-1,1,11,20,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0049547258.mrxs,1,processed,-1,15,11,80,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0057134497.mrxs,1,processed,-1,1,11,250,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0029468706.mrxs,1,processed,-1,1,11,2,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0047953852.mrxs,1,processed,-1,10,11,20,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0054130784.mrxs,1,processed,-1,5,11,120,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
0055483886.mrxs,1,processed,-1,1,11,50,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
30.mrxs,1,processed,-1,1,11,2,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
DigitalSlide_E6M_15S_1.mrxs,1,processed,-1,55,11,100,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
DigitalSlide_E6M_17S_1.mrxs,1,processed,-1,1,11,85,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
DigitalSlide_E6M_20S_1.mrxs,1,processed,-1,15,11,20,FALSE,none,none,1,1,2,-1,50,TRUE,four_pt
