slide_id,seg_level,sthresh,mthresh,close,use_otsu,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,keep_ids,exclude_ids,status,process
0029553565,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0030657581,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0035146620,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0043824438,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0044135054,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0046723899,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0051341579,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0058263272,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0059072087,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0063366529,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0063610642,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
B-160004549-01-B-001,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
BB150007349-A-01-001,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_14S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_15S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_16S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_18S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_19S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_1S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_2S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_3S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B1M_5S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_11S_1_20210826183548302,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_12S_1_20210826183648767,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_1S_1_20210826183728179,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_3S_1_20210826183921228,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_4S_1_20210826184014839,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_5S_1_20210826184054251,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_6S_1_20210826184158873,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_7S_1_20210826184304020,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_8S_1_20210826184401956,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_B2M_9S_1_20210826184515465,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_12S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_14S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_19S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_1S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_2S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_3S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_C10M_9S_1,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_D4M_1S_1_20210922131645990,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_D4M_2S_1_20210922131740429,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
DigitalSlide_E10M_7S_1_20210914145322714,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
0042034876,-1,15,11,4,False,100,16,8,-1,150,True,four_pt,none,none,,1
