,train,val,test
0,0029553565,DigitalSlide_E10M_7S_1_20210914145322714,0055483886
1,0030657581,DigitalSlide_C10M_9S_1,DigitalSlide_C10M_14S_1
2,0035146620,DigitalSlide_B1M_2S_1,DigitalSlide_C10M_1S_1
3,0043824438,DigitalSlide_B2M_11S_1_20210826183548302,DigitalSlide_B1M_3S_1_12-1-2022_17-40-14
4,0051341579,DigitalSlide_B2M_8S_1_20210826184401956,DigitalSlide_B2M_3S_1_20210826183921228
5,30,DigitalSlide_B2M_7S_1_20210826184304020,DigitalSlide_B2M_5S_1_20210826184054251
6,DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,DigitalSlide_B9M_6S_1,BB150007349-A-01-001
7,DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,DigitalSlide_C10M_19S_1,0048086809
8,DigitalSlide_B1M_3S_1,DigitalSlide_B9M_16S_1,0042034876
9,DigitalSlide_B1M_5S_1,0046877280,0063610642
10,DigitalSlide_C10M_12S_1,0054130784,DigitalSlide_B1M_14S_1
11,DigitalSlide_C10M_2S_1,,
12,DigitalSlide_C10M_3S_1,,
13,DigitalSlide_E6M_17S_1,,
14,0063366529,,
15,DigitalSlide_B1M_18S_1,,
16,DigitalSlide_B1M_1S_1,,
17,DigitalSlide_B2M_12S_1_20210826183648767,,
18,DigitalSlide_B2M_1S_1_20210826183728179,,
19,DigitalSlide_B2M_4S_1_20210826184014839,,
20,DigitalSlide_B2M_6S_1_20210826184158873,,
21,DigitalSlide_B2M_9S_1_20210826184515465,,
22,DigitalSlide_D4M_1S_1_20210922131645990,,
23,DigitalSlide_D4M_2S_1_20210922131740429,,
24,DigitalSlide_E6M_15S_1,,
25,0029468706,,
26,0044135054,,
27,0046723899,,
28,0049547258,,
29,0049556653,,
30,0050394746,,
31,0057134497,,
32,B-160004549-01-B-001,,
33,DigitalSlide_B1M_19S_1,,
34,DigitalSlide_B9M_7S_1,,
35,DigitalSlide_B9M_8S_1,,
36,0042711961,,
37,0042951302,,
38,0047176089,,
39,0047953852,,
40,0054815807,,
41,0058263272,,
42,0059072087,,
43,DigitalSlide_B1M_15S_1,,
44,DigitalSlide_B1M_16S_1,,
45,DigitalSlide_B9M_11S_1,,
46,DigitalSlide_B9M_14S_1,,
